item_id,description,description_2,group_description,date,quantity,unit_sale_price (CLP),total (CLP),client_id
471,canine i/d x  lata x 370 gms,latas medicadas,alimento,2022-01-18,1,9220.0,9220.0,4547.0
1253,monge urinary  chicken de 1,,,2022-03-01,1,17990.0,17990.0,3472.0
1848,juguete limpieza dental ball,juguetes,accesorio,2022-06-11,1,6990.0,6990.0,1826.0
1841,parka premium perro con chiporro,ropa,accesorio,2022-12-30,1,31990.0,31990.0,2170.0
14,pro plan sensitive skin m/l 3kg ar,adultos,alimento,2022-06-05,3,30830.0,92490.0,4388.0
1809,desparasitante bravecto para gatos,antiparasitarios,medicamento,2022-05-27,1,29990.0,29990.0,2174.0
70,shampoo flt,antialergico,medicamentos,2022-11-30,1,12400.0,12400.0,4247.0
1819,simparica antiparasitario 40 mg,antiparasitarios,medicamento,2022-02-22,1,10990.0,10990.0,1448.0
1795,wanpy soft duck jerky stripos,snack,alimento,2022-06-25,1,4990.0,4990.0,2509.0
1829,hueso entretenido,juguetes,accesorio,2022-05-23,1,7990.0,7990.0,4290.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-08-01,1,56990.0,56990.0,
1446,bravery chicken mini adult small breeds 2 kg,adultos,alimento,2022-04-29,1,15990.0,15990.0,2096.0
1825,poo bolsas compostables 60 u,higiene,accesorio,2022-03-31,1,6990.0,6990.0,2276.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2022-12-20,1,8990.0,8990.0,4161.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2022-03-03,1,8990.0,8990.0,4161.0
1851,orijen alimento natural seco para gato 5kg,adultos,alimento,2022-06-14,1,68990.0,68990.0,483.0
1717,royal canin mini puppy pouch 85 gr,humedo,alimento,2022-08-12,1,2330.0,2330.0,2367.0
1817,puzzle tornado nivel 2,juguetes,accesorio,2022-01-10,1,24990.0,24990.0,3508.0
1789,salvaje adulto con pollo 15 kg,adultos,alimento,2022-11-13,1,31990.0,31990.0,1278.0
966,bravery lamb adult large/medium b. 4 kg,adultos,alimento,2022-09-11,2,22900.0,45800.0,3708.0
1812,kong wobbler cat small,juguetes,accesorio,2022-10-19,1,18990.0,18990.0,3352.0
1797,little jacs snack,snack,alimento,2022-03-28,1,5990.0,5990.0,2763.0
1785,dogxtreme pupy pollo y arroz,adultos,alimento,2022-09-30,1,24990.0,24990.0,1189.0
1817,puzzle tornado nivel 2,juguetes,accesorio,2022-11-23,1,24990.0,24990.0,3780.0
1812,kong wobbler cat small,juguetes,accesorio,2022-02-03,1,18990.0,18990.0,2056.0
1498,bravery salmon mini adult small breeds 2 kg,adultos,alimento,2022-09-06,1,18990.0,18990.0,4110.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-12-17,1,56990.0,56990.0,
1863,bebedero/comedero para ave,adultos,alimento,2022-12-31,1,4550.0,4550.0,4412.0
890,catit filtro fuente mini 3 unid,juguetes,accesorios,2022-02-28,1,4490.0,4490.0,3067.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2022-07-21,1,44990.0,44990.0,4150.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-03-02,1,56990.0,56990.0,40.0
1802,zeecat phantom collar,paseo,accesorio,2022-12-28,4,4990.0,19960.0,902.0
1852,pro plan alimento seco para cachorro razas grandes 15 kg,cachorro,alimento,2022-09-30,1,76990.0,76990.0,2608.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-07-31,1,54990.0,54990.0,2402.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-12-17,1,62990.0,62990.0,
1786,nath adulto maxi sabor pollo y arroz integral,adultos,alimento,2022-04-24,1,19990.0,19990.0,752.0
740,royal canin fhn indoor 7+ 1,,,2022-09-12,1,20510.0,20510.0,2806.0
189,gel otico plus x 11.5 grs.,otico,medicamentos,2022-12-31,1,17150.0,17150.0,3499.0
523,revolution plus 0.25 ml (1.25 a 2.5 kg) x 1p,ant. ext.,medicamentos,2022-07-31,1,10410.0,10410.0,4179.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-11-30,2,56990.0,113980.0,2000.0
1861,small bird diet 1 kg,adultos,alimento,2022-12-31,1,19990.0,19990.0,3918.0
1800,bravery chicken adult cat,adultos,alimento,2022-05-31,1,35990.0,35990.0,3121.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-08-31,10,56990.0,569900.0,
247,capa polar c/chiporro t-s (1)  a. doctor,ropa,accesorios,2022-07-31,1,6550.0,6550.0,2204.0
1809,desparasitante bravecto para gatos,antiparasitarios,medicamento,2022-04-19,1,29990.0,29990.0,5081.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2022-06-23,1,44990.0,44990.0,1432.0
