Cliente ID,Total Gastado (CLP),Cluster
1.0,156520.0,0
2.0,10480.0,0
3.0,1182180.0,0
4.0,340370.0,0
5.0,889700.0,0
6.0,167970.0,0
7.0,221060.0,0
8.0,159604.0,0
9.0,161910.0,0
10.0,90550.0,0
11.0,320600.0,0
12.0,1053390.0,0
13.0,579430.0,0
14.0,12187782.59,2
15.0,287100.0,0
16.0,1545320.0,0
17.0,3131850.0,1
18.0,829080.0,0
19.0,1137030.0,0
20.0,152910.0,0
21.0,2587420.0,1
22.0,963240.0,0
24.0,78840.0,0
25.0,4131950.0,1
26.0,2304260.0,1
27.0,164970.0,0
28.0,336790.0,0
30.0,257870.0,0
31.0,1093090.0,0
32.0,3537380.0,1
33.0,671860.0,0
34.0,26970.0,0
35.0,110940.0,0
36.0,31430.0,0
37.0,177300.0,0
38.0,468300.0,0
39.0,818200.0,0
40.0,4626030.0,1
41.0,85440.0,0
42.0,1900.0,0
43.0,963450.0,0
44.0,503130.0,0
45.0,396740.0,0
46.0,127920.0,0
47.0,258840.0,0
48.0,212400.0,0
49.0,970940.0,0
50.0,1176810.0,0
51.0,569950.0,0
52.0,179810.0,0
53.0,724710.0,0
54.0,2161300.0,1
55.0,60800.0,0
56.0,2814990.0,1
57.0,9157760.0,2
58.0,540000.0,0
59.0,643800.0,0
60.0,815220.0,0
61.0,793880.0,0
62.0,7600.0,0
63.0,175200.0,0
64.0,1060980.0,0
65.0,175400.0,0
66.0,1153820.0,0
67.0,644510.0,0
68.0,224910.0,0
69.0,287940.0,0
70.0,2425020.0,1
71.0,1074400.0,0
73.0,856110.0,0
74.0,50970.0,0
76.0,195940.0,0
77.0,159680.0,0
78.0,1463740.0,0
79.0,1567260.0,0
80.0,227880.0,0
81.0,63960.0,0
82.0,48960.0,0
83.0,39420.0,0
84.0,350100.0,0
85.0,5071540.42,1
86.0,775360.0,0
87.0,2030060.0,1
89.0,716410.0,0
90.0,1083610.0,0
91.0,1924480.0,1
92.0,97300.0,0
93.0,1034970.0,0
94.0,723612.0,0
95.0,199750.0,0
98.0,281280.0,0
99.0,563750.0,0
100.0,367540.0,0
101.0,275980.0,0
102.0,1140280.0,0
103.0,830900.0,0
104.0,899640.0,0
105.0,8249640.0,2
107.0,54390.0,0
108.0,2455400.0,1
109.0,1525200.0,0
111.0,535930.0,0
112.0,211900.0,0
113.0,1863510.0,0
114.0,305590.0,0
115.0,1414640.0,0
116.0,709560.0,0
117.0,1439140.0,0
118.0,175560.0,0
120.0,1083750.0,0
121.0,712600.0,0
122.0,723780.0,0
123.0,188970.0,0
124.0,61660.0,0
125.0,17094162.71,2
127.0,2330.0,0
128.0,41980.0,0
129.0,110940.0,0
130.0,32640.0,0
132.0,818060.0,0
134.0,1195470.0,0
135.0,395160.0,0
136.0,347300.0,0
138.0,4402180.0,1
140.0,2790600.0,1
141.0,853640.0,0
142.0,854100.0,0
143.0,86280.0,0
144.0,5143160.0,1
146.0,427810.0,0
147.0,233070.0,0
148.0,496980.0,0
150.0,409450.0,0
152.0,88650.0,0
153.0,1507490.0,0
154.0,406630.0,0
155.0,311480.0,0
156.0,316250.0,0
157.0,615610.0,0
158.0,3629230.0,1
159.0,773090.0,0
160.0,791060.0,0
161.0,1939030.0,1
163.0,2332440.0,1
164.0,339650.0,0
165.0,703360.0,0
166.0,3545420.0,1
167.0,4898400.0,1
