ID del item,Nombre del item,Total de ventas (CLP),Cantidad vendida
1853,pro plan alimento seco para adulto razas medianas 15 kg,522817000.0,8300.0
1790,royal canin adulto maxi adult 15kg,393515950.0,6905.0
1851,orijen alimento natural seco para gato 5kg,330048160.0,4784.0
1849,royal alimento seco gato 7.5 kg,220344930.0,4007.0
1818,puzzle twister nivel 3,215472130.0,5987.0
1850,bravery alimento seco natural 7kg,208078750.0,4625.0
1788,royal canin adulto mini adult 7,207684690.0,4831.0
1799,proplan adulto cat alimento para gato,172221720.0,3828.0
1800,bravery chicken adult cat,146515290.0,4071.0
1828,kong extreme dental con cuerda,145941600.0,5840.0
1789,salvaje adulto con pollo 15 kg,135413670.0,4233.0
1832,alfombrilla de entrenamiento de cesped,113677260.0,2274.0
1785,dogxtreme pupy pollo y arroz,100284870.0,4013.0
1817,puzzle tornado nivel 2,98285670.0,3933.0
1831,squeaky bounce ball large,76436590.0,2941.0
1786,nath adulto maxi sabor pollo y arroz integral,70784590.0,3541.0
1798,nath cat adulto esterilizado sabor pollo y arroz,69163290.0,2471.0
1852,pro plan alimento seco para cachorro razas grandes 15 kg,58589390.0,761.0
1812,kong wobbler cat small,52203510.0,2749.0
629,eukanuba adulto large breed 15 kg,50434920.0,612.0
1809,desparasitante bravecto para gatos,48763740.0,1626.0
1827,hueso masticable con textura,45586660.0,2534.0
596,royal canin maxi adulto 15 kg,41850900.0,490.0
751,acana wild atlantic - perro 11,41824800.0,444.0
1841,parka premium perro con chiporro,38228050.0,1195.0
1845,capa impermeable azul,35013770.0,1523.0
1433,royal canin maxi junior 15 kgr,34000440.0,381.0
1650,brit care dog show champion salmon 12 kg,33466770.0,523.0
1476,bravery chicken adult cat 7 kg,27218950.0,605.0
1820,simparica antiparasitario 80 mg,26687310.0,1669.0
192,brit care cat sterilized urinary 7kg,26539260.0,474.0
1840,parka premium perro,26369230.0,977.0
1846,arnes y correa anti-tirones,25313670.0,1333.0
1796,dingo dental stick huesitos ,25023130.0,2087.0
709,bravery salmon adult large/medium breed 12 kg,25005900.0,410.0
1816,zeedof arnés ajustable morado,24995070.0,893.0
1403,brit care cat grain-free sterilized sensitive 7 kg,24747580.0,442.0
257,brit care cat grain-free senior weight control 7 kg,24691590.0,441.0
1268,acana pork & squash - perro 5,24110940.0,417.0
1787,nath puppy maxi sabor pollo y arroz integral,23940420.0,958.0
1792,royal canin alimento húmedo perro adulto,21558020.0,2398.0
1847,juguete limpieza dental doble,21432160.0,2384.0
1003,brit care cat grain-free haircare healthy & shiny coat 7 kg,21276200.0,380.0
1842,chaqueta chiporro verde ,21220510.0,1249.0
73,pro plan cat urinary 7,20940800.0,512.0
1005,bravery chicken adult large/medium breeds 12 kg,20896200.0,380.0
1844,polerón con gorro verde,20209890.0,1011.0
1706,pro plan adulto optihealth r/m 15 kg,20146500.0,407.0
246,bravery iberian pork adult large/medium breeds 12 kg,20117470.0,353.0
41,brit care adult small breed l&r 7,20108760.0,444.0
1819,simparica antiparasitario 40 mg,19968830.0,1817.0
1861,small bird diet 1 kg,19450270.0,973.0
1823,siguimarina,19436740.0,926.0
1867,living world alimento seco cuy,19395870.0,1213.0
1510,bravery salmon adult cat 7 kg,18956050.0,395.0
1529,bravery salmon adult cat sterilized 7 kg,18946210.0,379.0
916,eukanuba adulto medium 13.6 kg,18816610.0,277.0
1860,small bird diet 1 kg,18366190.0,1081.0
808,brit care gf adult salmon 12 kg,18078130.0,287.0
543,brit care adult large breed l&r 12 kg,17952150.0,285.0
1829,hueso entretenido,17641920.0,2208.0
1308,brit care adulto large salmon & potato 12 kg,17511220.0,278.0
1830,dispensador small,16769010.0,2399.0
520,bravery lamb mini adulto small breed 7 kg,16628220.0,378.0
1843,polerón con gorro rosado,16502310.0,869.0
1720,monge mini adult chicken 7,16470980.0,353.0
483,royal canin mini adulto  8 kg fr,16303680.0,333.0
1815,dog arnés negro,16052700.0,730.0
91,royal can  vet cat  young male s/o 3.5 kilo,15887520.0,374.0
1085,pro plan sensitive cat 3kg ar,15784580.0,434.0
637,pro plan perro reduce calor. optilife 15 kilo,15599100.0,319.0
1848,juguete limpieza dental ball,15454890.0,2211.0
1698,brit care sensitive venison & potato 12 kg,15447940.0,206.0
532,pro plan adult large breed 15kg ar,15304930.0,197.0
1797,little jacs snack,15220590.0,2541.0
1462,pro plan reduce calorie sml brd 3kg ar,15011400.0,508.0
834,brit care adult medium breed l&r 12 kg,14613680.0,232.0
1582,salvaje adulto con pollo 15 kg,14523460.0,454.0
1166,royal can  vet cat  young female  s/o 3.5 kilo,13806000.0,325.0
1794,proplan adulto latas,13694800.0,2920.0
1396,nt total grain-free small breed chicken & turkey dog food 2k,13680750.0,493.0
1382,pro plan adult cat 7,13482580.0,223.0
443,bravery chicken mini adult small breeds 7 kg,13424270.0,373.0
113,nath cat adulto esterilizado sabor pollo y arroz,13407210.0,479.0
1795,wanpy soft duck jerky stripos,13383180.0,2682.0
1854,churu premio cremoso natural para perro,12947550.0,3245.0
813,royal canin mini indoor adulto 2.5kg,12887000.0,490.0
1272,brit care duck endurance 12 kg,12775900.0,251.0
1791,belcando búfalo de agua 400 gr,12504830.0,2237.0
584,nutrience gr.free cat indoor 2,12366310.0,389.0
1813,caña con pompones,12265260.0,3074.0
1493,acana homestead harvest gato 1,11970400.0,520.0
832,royal can fhn fit 32 7.5 kilo,11621620.0,178.0
1347,bravery salmon adult large/medium breed 4 kg,11620350.0,465.0
1688,monge maxi adult chicken de 12 kg,11476290.0,211.0
1755,pro plan reduced calorie m/l 3kg ar,11465400.0,388.0
1252,obt-td. adult s.bites - chicken (5,11172280.0,280.0
676,pro plan active mind 7+ sml brd 3kg ar,10728840.0,348.0
1264,monge medium adult chicken de 3 kg,10396000.0,400.0
14,pro plan sensitive skin m/l 3kg ar,10297220.0,334.0
624,obt-td. adult s.bites - fish (2,10249200.0,468.0
1806,plato gato doble redondo,9865830.0,617.0
1801,bravery lomo de atún y zanahoria,9600890.0,3211.0
966,bravery lamb adult large/medium b. 4 kg,9480600.0,414.0
930,acana wild atlantic gato 1,9430440.0,356.0
1072,dogxtreme pupy pollo y arroz,9396240.0,376.0
648,monge mini adult chicken de 3 kg,9382390.0,361.0
1498,bravery salmon mini adult small breeds 2 kg,9343080.0,492.0
900,proplan cat urinary 3 kgs.,9285600.0,424.0
1804,arnés adjustable cat ,8976090.0,691.0
279,bravery light iberian pork mini adult small breeds 2 kg,8919750.0,525.0
1179,bravery chicken adult cat 2 kg,8834800.0,520.0
380,brit care adult small breed l&r 3 kg,8821470.0,353.0
545,nutram ideal solution support indoor cat food 1.13kg,8684280.0,396.0
1135,royal canin gastrointestinal feline 2 kg,8579180.0,502.0
1856,botella de agua con contenedor de comida,8501490.0,851.0
1556,amity sp low grain salmon adult 4 kg,8317620.0,438.0
699,brit care duck endurance 3 kg,8246700.0,330.0
212,royal canin renal canine 1.5 kg,8178800.0,460.0
1808,pet woow dispensador de alimento,8159490.0,51.0
1222,royal canin sensible 1,7824870.0,397.0
353,bravery lamb mini adult small breed 2 kg,7753690.0,431.0
1771,nutrience orig cat adult 2,7710200.0,380.0
1408,royal canin indoor 1,7686900.0,390.0
1811,superpet gato omega,7502610.0,939.0
1824,doguivit adulto,7462660.0,934.0
346,pro plan  perro  reduce calor. optilife 3 kilo,7398270.0,423.0
1825,poo bolsas compostables 60 u,7248630.0,1037.0
1318,proplan veterinarydiets cnne nc 6x2kg ar,7189520.0,248.0
810,pro plan adult small breed 3kg ar,7151100.0,242.0
634,pro plan dog sensitive skin 3 kilo,7118650.0,385.0
1822,superpet perro adulto,7080870.0,1013.0
1618,bravery chicken adult cat sterilized 2 kg,6818210.0,379.0
369,brit care cat grain-free senior weight control 2 kg,6800220.0,378.0
165,pro plan adult medium breed 3kg ar,6778240.0,238.0
1859,par de protectores de patas para perro 2x,6649650.0,35.0
1439,bravery iberian pork mini adult small breeds 2 kg,6507170.0,383.0
1344,sierra mountain 2 kg.,6438080.0,352.0
1834,loft dog house,6299550.0,45.0
1521,brit care gf adult salmon 3 kg,6261390.0,261.0
1393,pro plan puppy medium breed 15kg ar,6254710.0,77.0
746,pro plan adult cat 1kg ar,6227200.0,448.0
1678,royal can. urinary canine 10 kg.,6162420.0,66.0
1835,palace dog house,6079620.0,38.0
1069,pro plan sterilized cat 1kg ar,6034560.0,449.0
1775,brit care dog show champion salmon 3 kg,5973510.0,249.0
485,royal can. hepatic canine 10 kg.,5791590.0,63.0
1628,obt-td. sen&wm s.bites - chicken (2,5781600.0,264.0
1773,pro plan reduced calorie cat 3kg ar,5746460.0,158.0
1446,bravery chicken mini adult small breeds 2 kg,5356650.0,335.0
740,royal canin fhn indoor 7+ 1,5353110.0,261.0
861,acana freshwater fish - perro 2,5252640.0,248.0
1385,amity sp low grain chicken adult 4 kg,5228730.0,327.0
114,dingo dental stick huesitos ,5203660.0,434.0
1225,bravery light iberian pork mini adult small breeds 7 kg,5198400.0,120.0
1821,mebermic,5044130.0,1687.0
561,wanpy soft duck jerky stripos,4940100.0,990.0
1833,coche pet,4919590.0,41.0
128,brit care cat grain-free haircare healthy & shiny coat 2 kg,4842450.0,255.0
122,royal canin feline adult sterilised 1.5 kg,4828950.0,245.0
189,gel otico plus x 11.5 grs.,4819150.0,281.0
32,royal canin hairball care 1.5 kg,4810110.0,223.0
1802,zeecat phantom collar,4775430.0,957.0
1858,bebedera con acero inoxidable para gato,4751280.0,72.0
999,proplan puppy optis. large br. 15 kg.,4740500.0,95.0
1392,acana classic prairie poultry 2 kg,4700720.0,268.0
270,advocate 1 x 0.4 ml,4625260.0,281.0
1814,front range arnés naranjo,4499250.0,75.0
1837,cama para perro negra zeedog,4479200.0,80.0
721,pack conejo animal care,4425600.0,60.0
1793,bravery atún y vegetales alimento húmedo,4312330.0,2167.0
419,brit care weight loss rabbit 12 kg,4287330.0,67.0
1253,monge urinary  chicken de 1,4119710.0,229.0
534,belcando búfalo de agua 400 gr,4063930.0,727.0
1803,collar expandible con hebilla negro,4005270.0,573.0
1324,eukanuba puppy medium breed 15 kg,3914000.0,50.0
1694,pack hamster animal care n°2,3771040.0,56.0
1855,botella de paseo 1 un,3762460.0,754.0
549,monge indoor chicken de 1,3651970.0,203.0
494,pro plan puppy large breed 15kg ar,3574120.0,44.0
1431,monge adult chicken de 1,3567900.0,210.0
1764,royal canin alimento húmedo perro adulto,3542060.0,394.0
874,proplan puppy optistart complete 15 kg.,3499300.0,70.0
1805,bowl de plástico,3423420.0,858.0
607,bravery salmon adult cat 2 kg,3398000.0,200.0
1472,brit care gf adult salmon 1 kg,3349710.0,409.0
1058,brit care cat sterilized urinary 2kg,3304260.0,174.0
133,habitat para hamster kleo vip,3260400.0,65.0
320,pack michi,3247440.0,56.0
417,cama chiporro xxl catapet,3229150.0,85.0
1696,monge senior chicken 1,3198720.0,196.0
414,habitrail classic kit,3107260.0,74.0
1826,rodillo quitapelos y pelusas,3078830.0,617.0
1863,bebedero/comedero para ave,3021200.0,664.0
429,little jacs snack,3000990.0,501.0
1810,catnip spray hierba gatera,2975690.0,331.0
905,royal poodle  adulto 2,2875600.0,104.0
1531,pack hamster  animal care  n°1,2818400.0,52.0
881,bravery salmon adult cat sterilized 2 kg,2715570.0,143.0
1621,brit care puppy l&r 3 kg,2700700.0,113.0
240,zeus fuente mini 1,2545330.0,67.0
292,royal can. shn mini adulto 1 kgr.,2527700.0,230.0
642,proplan active mind rz mediana y grande 15kg,2503600.0,44.0
1217,brit care gf senior & light salmon 3 kg,2470970.0,103.0
424,sanitario gato con puerta y filtro/netta,2355420.0,74.0
795,brit care junior large breed l&r 12 kg,2322650.0,41.0
1548,yorkshire terrier  jr 3 kilo ,2261820.0,66.0
1375,royal canin mini puppy  8 kg fr,2219630.0,37.0
1866,alimento loros granulado 1kg,2208700.0,130.0
1366,amity sp low grain chicken puppy 14 kg,2066610.0,39.0
1857,transportadora rígida para perro chico,1979560.0,44.0
62,nath puppy maxi sabor pollo y arroz integral,1974210.0,79.0
509,pro plan puppy medium breed 3kg ar,1950300.0,66.0
1293,pro plan adulto carne pouch 100 gr,1937980.0,766.0
25,catit plat- tumbler-be,1913340.0,66.0
1724,brit care cat grain-free sterilized weight control 2 kg,1870960.0,104.0
1106,royal can poodle junior 33 2.5 kg.,1852550.0,67.0
373,parka t/5 cata pets,1817430.0,87.0
1108,eukanuba puppy large breed 15 kg,1800440.0,23.0
1705,royal canin bhn dachshund 2.5 kilo,1741950.0,63.0
835,broadline pipeta gato 2,1726920.0,108.0
1839,torre árbol con casa gatos premium,1709810.0,19.0
535,royal canin urinary s/o canine 1.5 kg.,1687320.0,109.0
326,ultrafil perros y gatos 15 ml,1674240.0,109.0
623,proplan cat kitten opt 7.5kg,1672700.0,43.0
595,monge maxi p&j chicken 1x12 kg,1657320.0,28.0
249,body gato 0 rosado,1618280.0,92.0
49,brit care puppy l&r  12 kg,1559760.0,24.0
1734,bravery atún y vegetales alimento húmedo,1558170.0,783.0
804,corral pequeños animales a.c,1557160.0,44.0
627,royal canin mini adulto pouch 85 gr,1546320.0,758.0
1591,pro plan active mind small breed 7.5 kg,1507840.0,32.0
68,royal can. renal rf feline 2 kg.,1503000.0,50.0
1193,brit care adult small breed l&r 1 kg,1498770.0,183.0
1309,yorkshire pouch 12x85g,1486540.0,638.0
1645,bravery salmon mini puppy small breed 7 kg,1471680.0,32.0
9,pro plan gatos adulto pollo pouch 85 gr,1449260.0,622.0
6,capa arnè talla5 cata pets,1435070.0,83.0
1557,brit care cat kitten tuna fillets 70grs,1419300.0,747.0
171,pro plan puppy optistart small breed 7.5 kg.,1414700.0,43.0
1138,brit care cat fillets in gravy turkey & savory salmon 85 g,1401400.0,637.0
488,advantage gatos  4-8,1382850.0,105.0
928,monge mini p&j chicken de 3 kg,1371510.0,49.0
208,milpro gato x 2 comp + 2 kg,1357030.0,97.0
415,bravery salmon mini puppy small breed 2 kg,1348290.0,71.0
1231,brit care cat grain-free kitten healthy g&d 7 kg,1343760.0,24.0
278,poof! blue cloud chinchilla dust,1340500.0,70.0
1303,revolution gato 2.5-7.5 kg,1334110.0,89.0
277,profender cats spot-on pip. 2.5 a 5 kg.,1321320.0,91.0
1590,brit care cat kitten fillets in gravy with tender turkey 85 ,1320000.0,600.0
70,shampoo flt,1302000.0,105.0
968,body gato 0 verde,1301660.0,74.0
1717,royal canin mini puppy pouch 85 gr,1300140.0,558.0
784,nutribound gato 150 ml,1245000.0,83.0
692,cytopoint 40 mg iny 30-40 k,1244980.0,22.0
799,jaula aves med. diseños y colores,1224000.0,51.0
