id,item_id,date,quantity,cost (CLP)_x,delivery_date,lead_time,description,description_2,group_description,unit_sale_price (CLP),cost (CLP)_y,storage_cost (CLP),stock,size_m3,cost_per_purchase
186,755,2020-02-03,16,597888.0,2020-02-21,18,jaula refugio hamster m,hogar-transporte,accesorios,49270.0,37368.0,121.0,0.0,0.004,500.0
298,384,2020-02-03,19,1249725.0,2020-02-25,22,pack cuy  animal care,hogar-transporte,accesorios,84160.0,65775.0,176.0,0.0,0.001,1950.0
326,878,2020-02-03,14,633612.0,2020-02-21,18,pack huron acare,hogar-transporte,accesorios,65990.0,45258.0,139.0,0.0,0.001,1300.0
455,1694,2020-03-02,14,652036.0,2020-03-21,19,pack hamster animal care n°2,hogar-transporte,accesorios,67340.0,46574.0,164.0,0.0,0.004,600.0
815,1694,2020-04-06,3,139722.0,2020-04-26,20,pack hamster animal care n°2,hogar-transporte,accesorios,67340.0,46574.0,164.0,0.0,0.004,600.0
819,798,2020-04-06,11,271183.0,2020-04-25,19,jaula cage cavie 60,hogar-transporte,accesorios,36740.0,24653.0,77.0,0.0,0.001,800.0
823,1531,2020-04-06,1,42743.0,2020-04-28,22,pack hamster  animal care  n°1,hogar-transporte,accesorios,54200.0,42743.0,114.0,3.0,0.001,500.0
858,181,2020-04-06,8,85448.0,2020-04-26,20,zd pacco leash small,paseo,accesorios,13900.0,10681.0,29.0,3.0,0.001,600.0
1093,1289,2020-05-04,19,1133996.0,2020-05-22,18,jaula refugio peq. animales grande,hogar-transporte,accesorios,77330.0,59684.0,188.0,1.0,0.004,2550.0
1139,721,2020-05-04,4,207400.0,2020-05-22,18,pack conejo animal care,hogar-transporte,accesorios,73760.0,51850.0,155.0,3.0,0.001,500.0
1158,1057,2020-05-04,15,420780.0,2020-05-22,18,dreamwell cama rectangular gris/blanco,camas,accesorios,39990.0,28052.0,84.0,0.0,0.001,850.0
1350,1437,2020-05-04,14,396760.0,2020-05-28,24,zd violet air-leash,paseo,accesorios,37900.0,28340.0,79.0,1.0,0.001,550.0
1516,1176,2020-06-01,15,483705.0,2020-06-22,21,mazuri tubo huron,enriquecimiento ambiental,accesorios,43890.0,32247.0,107.0,0.0,0.004,2200.0
1527,1057,2020-06-01,1,28052.0,2020-06-25,24,dreamwell cama rectangular gris/blanco,camas,accesorios,39990.0,28052.0,84.0,0.0,0.001,850.0
1615,885,2020-06-01,21,1329993.0,2020-06-26,25,habitrail ovo loft,hogar-transporte,accesorios,89990.0,63333.0,189.0,1.0,0.001,500.0
1853,414,2020-07-06,2,55680.0,2020-07-25,19,habitrail classic kit,hogar-transporte,accesorios,41990.0,27840.0,88.0,1.0,0.001,650.0
1858,210,2020-07-06,3,10137.0,2020-07-24,18,zd bordeau cat collar,paseo,accesorios,4900.0,3379.0,10.0,1.0,0.001,500.0
1876,721,2020-07-06,2,103700.0,2020-07-24,18,pack conejo animal care,hogar-transporte,accesorios,73760.0,51850.0,155.0,3.0,0.001,500.0
1879,1531,2020-07-06,1,42743.0,2020-07-29,23,pack hamster  animal care  n°1,hogar-transporte,accesorios,54200.0,42743.0,114.0,3.0,0.001,500.0
2054,1238,2020-07-06,33,4210965.0,2020-08-19,44,rasguñador torre sky,hogar-transporte,accesorios,163590.0,127605.0,400.0,0.0,0.004,700.0
2174,1507,2020-08-03,1,12413.0,2020-08-21,18,bichon frise (my family),placas identificacion,accesorios,17560.0,12413.0,43.0,0.0,0.004,1100.0
2205,1211,2020-08-03,13,342381.0,2020-08-26,23,wicked flyharness size 4,paseo,accesorios,37900.3,26337.0,79.0,0.0,0.001,750.0
2236,181,2020-08-03,2,21362.0,2020-08-21,18,zd pacco leash small,paseo,accesorios,13900.0,10681.0,29.0,3.0,0.001,600.0
